customerID,Churn,Value_at_Risk
7590-VHVEG,0,29.85
5575-GNVDE,0,1936.3000000000002
3668-QPYBK,1,107.7
7795-CFOCW,0,1903.4999999999998
9237-HQITU,1,141.4
9305-CDSKC,1,797.2
1452-KIOVK,0,1960.1999999999998
6713-OKOMC,0,297.5
7892-POOKP,1,2934.4
6388-TABGU,0,3481.2999999999997
9763-GRSKD,0,649.35
7469-LKBCI,0,303.2
8091-TTVAX,0,5820.299999999999
0280-XJGEX,1,5081.3
5129-JLPIS,0,2637.5
3655-SNQYZ,0,7814.25
8191-XWSZG,0,1073.8
9959-WOFKT,0,7575.7
4190-MFLUW,1,552.0
4183-MYFRB,0,1891.05
8779-QRDMV,1,39.65
1680-VDCWW,0,237.60000000000002
1066-JKSGK,1,20.15
3638-WEABW,0,3474.2
6322-HRPFA,0,2920.4
6865-JZNKO,0,1659.0
6467-CHFZW,1,4669.45
8665-UTDHZ,1,30.2
5248-YGIJN,0,6498.0
8773-HHUOZ,1,1099.9
3841-NFECX,0,6840.849999999999
4929-XIHVW,0,191.0
6827-IEAUQ,0,1786.0500000000002
7310-EGVHZ,0,20.2
3413-BMNZE,0,45.25
6234-RAAPL,0,7192.8
6047-YHPVI,1,348.5
6572-ADKRS,0,3440.7999999999997
5380-WJKOV,1,3615.8999999999996
8168-UQWWF,1,1076.35
8865-TNMNX,0,495.5
9489-DEDVP,0,4844.0
9867-JCZSP,0,352.75
4671-VJLCL,0,5030.549999999999
4080-IIARD,0,990.6
3714-NTNFO,0,4140.5
5948-UJZLF,0,98.5
7760-OYPDY,1,161.3
7639-LIAYI,0,4147.0
2954-PIBKO,0,4426.35
8012-SOUDQ,0,3880.75
9420-LOJKX,1,1486.5
6575-SUVOI,0,1737.5
7495-OOKFY,1,645.2
4667-QONEA,0,4491.0
1658-BYGOY,1,1718.1000000000001
8769-KKTPH,0,6277.950000000001
5067-XJQFU,0,7157.7
3957-SQXML,0,848.3
5954-BDFSG,0,7740.0
0434-CSFON,0,4723.5
1215-FIGMP,0,5394.0
0526-SXDJP,0,3031.2000000000003
0557-ASKVU,0,979.1999999999999
5698-BQJOH,1,849.6
5122-CYFXA,0,225.89999999999998
8627-ZYGSZ,0,3708.3
3410-YOQBQ,0,2455.2000000000003
3170-NMYVV,0,1007.4999999999999
7410-OIEDU,0,798.5
2273-QCKXA,0,49.05
0731-EBJQB,0,1060.8
1891-QRQSA,0,7142.4
8028-PNXHQ,0,1503.5
5630-AHZIL,0,193.5
2673-CXQEU,0,6188.0
6416-JNVRK,0,2559.9
5590-ZSKRV,0,437.2
0191-ZHSKZ,0,2242.5
3887-PBQAO,0,1165.5
5919-TMRGD,1,79.35
8108-UXRQN,0,556.05
9191-MYQKX,1,526.0500000000001
9919-YLNNG,0,4359.599999999999
0318-ZOPWS,0,987.3499999999999
4445-ZJNMU,0,893.6999999999999
4808-YNLEU,0,2175.25
1862-QRWPE,0,991.1999999999999
2796-NNUFI,0,917.6999999999999
3016-KSVCP,0,978.75
4767-HZZHQ,0,2461.5
2424-WVHPL,0,74.7
7233-PAHHL,0,5544.0
6067-NGCEU,0,7218.25
9848-JQJTX,0,7264.8
8637-XJIVR,1,947.4000000000001
9803-FTJCG,0,4746.349999999999
0278-YXOOG,1,105.25
3212-KXOCR,0,1092.0
4598-XLKNJ,1,2462.5
6380-ARCEH,0,20.2
3679-XASPY,0,19.45
7123-WQUHX,0,3610.0
5386-THSLQ,0,3006.2999999999997
3192-NQECA,1,7480.0
6180-YBIQI,0,121.5
6728-DKUCO,0,7498.8
9750-BOOHV,0,964.8
8597-CWYHH,0,4057.0499999999997
2848-YXSMW,0,1396.8
0486-HECZI,1,5321.25
4549-ZDQYY,0,3013.4
5712-AHQNN,0,3940.9500000000003
4846-WHAFZ,1,2830.5
5256-SKJGO,0,3494.4
3071-VBYPO,0,269.54999999999995
9560-BBZXK,0,1117.8
5299-RULOA,1,1002.5
8402-OOOHJ,0,846.65
9445-ZUEQE,0,2300.4
1091-SOZGA,0,5588.8
2928-HLDBA,0,124.19999999999999
0404-SWRVG,1,223.20000000000002
6497-TILVL,0,354.90000000000003
7219-TLZHO,0,83.4
4622-YNKIJ,0,2935.35
4412-YLTKF,1,2107.35
6734-PSBAW,0,1695.6000000000001
3930-ZGWVE,0,19.75
2639-UGMAZ,0,4007.9500000000003
2876-GZYZC,0,1117.3500000000001
6207-WIOLX,1,1465.0
8587-XYZSF,0,3386.85
3091-FYHKI,1,35.45
2372-HWUHI,1,88.7
7799-LGRDP,0,1105.1
7850-VWJUU,0,1725.0
3774-VBNXY,0,1292.8
6217-KDYWC,0,1117.2
0390-DCFDQ,1,70.45
3146-MSEGF,0,6339.599999999999
4080-OGPJL,1,569.2
1095-WGNGG,0,6164.05
2636-SJDOU,0,5395.2
1131-QQZEB,0,1700.45
5716-EZXZN,0,6438.25
6837-BJYDQ,0,58.800000000000004
2135-RXIHG,1,45.65
6440-DKQGE,0,1935.0
3466-BYAVD,0,1042.5
3780-YVMFA,0,548.4
3874-EQOEP,1,665.0
1679-JRFBR,0,7570.5
9073-ZZIAY,0,5338.2
3077-RSNTJ,0,118.19999999999999
6551-GNYDG,0,1132.6000000000001
9167-APMXZ,0,1851.3000000000002
2749-CTKAJ,0,443.29999999999995
6371-NZYEG,0,1028.0
7554-NEWDD,0,257.0
8992-VONJD,0,728.0
0867-MKZVY,1,1648.0
4482-EWFMI,0,139.4
4648-YPBTM,0,3916.7000000000003
2907-ILJBN,0,226.60000000000002
6345-FZOQH,0,1373.1
3376-BMGFE,1,283.6
5997-OPVFA,0,6411.599999999999
3445-HXXGF,1,2627.3999999999996
1159-WFSGR,0,326.4
7654-YWJUF,0,3622.75
1875-QIVME,1,208.8
6727-IOTLZ,0,1147.3
0691-JVSYA,1,5027.049999999999
5918-VUKWP,0,657.6
1744-JHKYS,0,839.8
2656-FMOKZ,1,1116.75
2070-FNEXE,1,535.15
5947-SGKCL,0,1580.25
3712-PKXZA,0,1253.55
6317-YPKDH,1,29.95
6582-OIVSP,0,45.3
9367-WXLCH,1,676.0
5524-KHNJP,0,2466.75
1918-ZBFQJ,1,1030.25
1024-GUALD,1,24.8
4827-USJHP,0,1036.0
8167-GJLRN,0,91.19999999999999
0956-SYCWG,0,255.45
8017-UVSZU,0,2264.0
7100-FQPRV,0,3091.7000000000003
2472-OVKUP,1,546.0
2984-RGEYA,0,1362.75
